[2026-04-30 19:38:56] ============================================================
[2026-04-30 19:38:56] Trial 642024 starting on cuda:0
[2026-04-30 19:38:56] Timestamp: 2026-04-30T19:38:56.739341
[2026-04-30 19:38:56] --- Config summary ---
  model_type        : cnn
  bottleneck_dim    : 240
  n_enc_layers      : 5
  n_dec_layers      : 3
  base_channels     : 45
  growth_factor     : 2.420701279177553
  use_batchnorm     : True
  mlp_input_size    : 64
  mlp_hidden_sizes  : [1024, 256]
  mlp_dropout       : 0.1
  use_hpf           : True
  hpf_sigma         : 1.0150899986921562
  lr                : 0.00022215300717804413
  batch_size        : 24
  decoder_upsample  : nearest
  max_epochs        : 300
  min_epochs        : 30
  patience          : 30
  seed              : 2024
  deterministic     : False
  trial_num         : 642024
[2026-04-30 19:38:56] Loading train/val/selection splits...
[2026-04-30 19:39:04] Splits loaded in 8.0s: n_train=722, n_val=120, n_selection=405
[2026-04-30 19:39:05] --- Architecture summary ---
  channels per enc layer : [45, 109, 264, 638, 1545]
  final spatial size     : 2x2
  flat size before latent: 6180
  bottleneck_dim         : 240
  total parameters       : 97,666,600
[2026-04-30 19:39:07] Starting training: n_train=722, n_val=120, device=cuda:0
[2026-04-30 19:39:45] epoch    1/300 | train=0.004668 | val=0.003041 | best=0.003041@1 | patience=0/30 | time=37.00s *
[2026-04-30 19:39:46] epoch    2/300 | train=0.002288 | val=0.002204 | best=0.002204@2 | patience=0/30 | time=1.23s *
[2026-04-30 19:39:48] epoch    3/300 | train=0.001957 | val=0.001812 | best=0.001812@3 | patience=0/30 | time=1.25s *
[2026-04-30 19:39:50] epoch    4/300 | train=0.001697 | val=0.001608 | best=0.001608@4 | patience=0/30 | time=1.23s *
[2026-04-30 19:39:51] epoch    5/300 | train=0.001505 | val=0.001371 | best=0.001371@5 | patience=0/30 | time=1.23s *
[2026-04-30 19:39:53] epoch    6/300 | train=0.001380 | val=0.001224 | best=0.001224@6 | patience=0/30 | time=1.23s *
[2026-04-30 19:39:55] epoch    7/300 | train=0.001266 | val=0.001167 | best=0.001167@7 | patience=0/30 | time=1.23s *
[2026-04-30 19:39:56] epoch    8/300 | train=0.001212 | val=0.001163 | best=0.001163@8 | patience=0/30 | time=1.23s *
[2026-04-30 19:39:58] epoch    9/300 | train=0.001201 | val=0.001079 | best=0.001079@9 | patience=0/30 | time=1.23s *
[2026-04-30 19:39:59] epoch   10/300 | train=0.001154 | val=0.001136 | best=0.001079@9 | patience=1/30 | time=1.24s
[2026-04-30 19:40:01] epoch   11/300 | train=0.001143 | val=0.001126 | best=0.001079@9 | patience=2/30 | time=1.23s
[2026-04-30 19:40:02] epoch   12/300 | train=0.001146 | val=0.001013 | best=0.001013@12 | patience=0/30 | time=1.23s *
[2026-04-30 19:40:04] epoch   13/300 | train=0.001061 | val=0.001002 | best=0.001002@13 | patience=0/30 | time=1.23s *
[2026-04-30 19:40:06] epoch   14/300 | train=0.001031 | val=0.000966 | best=0.000966@14 | patience=0/30 | time=1.23s *
[2026-04-30 19:40:07] epoch   15/300 | train=0.001021 | val=0.000946 | best=0.000946@15 | patience=0/30 | time=1.25s *
[2026-04-30 19:40:08] epoch   16/300 | train=0.001020 | val=0.000963 | best=0.000946@15 | patience=1/30 | time=1.23s
[2026-04-30 19:40:10] epoch   17/300 | train=0.001014 | val=0.000966 | best=0.000946@15 | patience=2/30 | time=1.23s
[2026-04-30 19:40:11] epoch   18/300 | train=0.001016 | val=0.000950 | best=0.000946@15 | patience=3/30 | time=1.25s
[2026-04-30 19:40:13] epoch   19/300 | train=0.000983 | val=0.000925 | best=0.000925@19 | patience=0/30 | time=1.23s *
[2026-04-30 19:40:14] epoch   20/300 | train=0.000960 | val=0.000964 | best=0.000925@19 | patience=1/30 | time=1.23s
[2026-04-30 19:40:15] epoch   21/300 | train=0.001053 | val=0.000948 | best=0.000925@19 | patience=2/30 | time=1.23s
[2026-04-30 19:40:16] epoch   22/300 | train=0.000987 | val=0.000946 | best=0.000925@19 | patience=3/30 | time=1.23s
[2026-04-30 19:40:18] epoch   23/300 | train=0.000948 | val=0.000900 | best=0.000900@23 | patience=0/30 | time=1.23s *
